cat,cat_lab,count,percentage,measure,n_responses,school_lab,school_group,school_group_lab,plot_group,measure_lab
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[14, 28, 20, 18, 17, 21, 10]","[10.9375, 21.875, 15.625, 14.0625, 13.28125, 16.40625, 7.8125]",gender,128.0,School A,1,Your school,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[25, 24, 20, 29, 30, 0]","[19.53125, 18.75, 15.625, 22.65625, 23.4375, 0.0]",transgender,128.0,School A,1,Your school,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[22, 26, 15, 20, 29, 15, 1]","[17.1875, 20.3125, 11.71875, 15.625, 22.65625, 11.71875, 0.78125]",sexual_orientation,128.0,School A,1,Your school,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[45, 35, 38, 10]","[35.15625, 27.34375, 29.6875, 7.8125]",neurodivergent,128.0,School A,1,Your school,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[40, 45, 42, 1]","[31.25, 35.15625, 32.8125, 0.78125]",birth_parent1,128.0,School A,1,Your school,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[47, 39, 37, 5]","[36.71875, 30.46875, 28.90625, 3.90625]",birth_parent2,128.0,School A,1,Your school,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[37, 39, 48, 4]","[28.90625, 30.46875, 37.5, 3.125]",birth_you,128.0,School A,1,Your school,birth,Were you born outside the UK?
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, nan]","['Under 1 year old', '1 year old', '2 years old', '3 years old', '4 years old', '5 years old', '6 years old', '7 years old', '8 years old', '9 years old', '10 years old', '11 years old', '12 years old', '13 years old', '14 years old', '15 years old', 'No response']","[5, 13, 9, 6, 10, 11, 4, 6, 8, 6, 10, 10, 8, 5, 7, 8, 2]","[3.90625, 10.15625, 7.03125, 4.6875, 7.8125, 8.59375, 3.125, 4.6875, 6.25, 4.6875, 7.8125, 7.8125, 6.25, 3.90625, 5.46875, 6.25, 1.5625]",birth_you_age,128.0,School A,1,Your school,birth,How old were you when you arrived in the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[54, 67, 7]","[42.1875, 52.34375, 5.46875]",young_carer,128.0,School A,1,Your school,young_carer,"In the last year, have you regularly taken on caring responsibilities for a family member - e.g. due to illness, disability, mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[35, 40, 35, 18]","[27.34375, 31.25, 27.34375, 14.0625]",care_experience,128.0,School A,1,Your school,care_experience,"Are you or have you ever been in care (living in a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[59, 55, 14]","[46.09375, 42.96875, 10.9375]",year_group,128.0,School A,1,Your school,most_of_council,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[57, 62, 9]","[44.53125, 48.4375, 7.03125]",fsm,128.0,School A,1,Your school,most_of_council,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[57, 67, 4]","[44.53125, 52.34375, 3.125]",sen,128.0,School A,1,Your school,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[59, 65, 4]","[46.09375, 50.78125, 3.125]",ethnicity,128.0,School A,1,Your school,most_of_council,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[56, 58, 14]","[43.75, 45.3125, 10.9375]",english_additional,128.0,School A,1,Your school,most_of_council,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[95, 113, 82, 103, 100, 108, 71]","[14.136904761904761, 16.815476190476193, 12.202380952380953, 15.327380952380953, 14.880952380952381, 16.071428571428573, 10.56547619047619]",gender,672.0,School A,0,Other schools,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[131, 124, 139, 138, 126, 14]","[19.49404761904762, 18.452380952380953, 20.684523809523807, 20.535714285714285, 18.75, 2.083333333333333]",transgender,672.0,School A,0,Other schools,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[99, 112, 116, 125, 104, 114, 2]","[14.732142857142858, 16.666666666666664, 17.261904761904763, 18.601190476190478, 15.476190476190476, 16.964285714285715, 0.2976190476190476]",sexual_orientation,672.0,School A,0,Other schools,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[206, 171, 211, 84]","[30.654761904761905, 25.44642857142857, 31.398809523809522, 12.5]",neurodivergent,672.0,School A,0,Other schools,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[215, 219, 204, 34]","[31.994047619047617, 32.589285714285715, 30.357142857142854, 5.059523809523809]",birth_parent1,672.0,School A,0,Other schools,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[226, 219, 201, 26]","[33.63095238095239, 32.589285714285715, 29.910714285714285, 3.869047619047619]",birth_parent2,672.0,School A,0,Other schools,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[197, 238, 213, 24]","[29.315476190476193, 35.41666666666667, 31.69642857142857, 3.571428571428571]",birth_you,672.0,School A,0,Other schools,birth,Were you born outside the UK?
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, nan]","['Under 1 year old', '1 year old', '2 years old', '3 years old', '4 years old', '5 years old', '6 years old', '7 years old', '8 years old', '9 years old', '10 years old', '11 years old', '12 years old', '13 years old', '14 years old', '15 years old', 'No response']","[35, 53, 44, 36, 38, 51, 36, 54, 34, 39, 36, 36, 42, 44, 35, 44, 15]","[5.208333333333334, 7.886904761904762, 6.547619047619048, 5.357142857142857, 5.654761904761905, 7.5892857142857135, 5.357142857142857, 8.035714285714286, 5.059523809523809, 5.803571428571429, 5.357142857142857, 5.357142857142857, 6.25, 6.547619047619048, 5.208333333333334, 6.547619047619048, 2.232142857142857]",birth_you_age,672.0,School A,0,Other schools,birth,How old were you when you arrived in the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[321, 324, 27]","[47.767857142857146, 48.214285714285715, 4.017857142857143]",young_carer,672.0,School A,0,Other schools,young_carer,"In the last year, have you regularly taken on caring responsibilities for a family member - e.g. due to illness, disability, mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[219, 174, 208, 71]","[32.589285714285715, 25.892857142857146, 30.952380952380953, 10.56547619047619]",care_experience,672.0,School A,0,Other schools,care_experience,"Are you or have you ever been in care (living in a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[356, 258, 58]","[52.976190476190474, 38.392857142857146, 8.630952380952381]",year_group,672.0,School A,0,Other schools,most_of_council,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[261, 329, 82]","[38.839285714285715, 48.95833333333333, 12.202380952380953]",fsm,672.0,School A,0,Other schools,most_of_council,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[383, 253, 36]","[56.99404761904761, 37.648809523809526, 5.357142857142857]",sen,672.0,School A,0,Other schools,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[324, 325, 23]","[48.214285714285715, 48.36309523809524, 3.422619047619048]",ethnicity,672.0,School A,0,Other schools,most_of_council,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[304, 299, 69]","[45.23809523809524, 44.49404761904761, 10.267857142857142]",english_additional,672.0,School A,0,Other schools,most_of_council,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[20, 17, 21, 23, 21, 21, 9]","[15.151515151515152, 12.878787878787879, 15.909090909090908, 17.424242424242426, 15.909090909090908, 15.909090909090908, 6.8181818181818175]",gender,132.0,School B,1,Your school,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[24, 23, 29, 25, 28, 3]","[18.181818181818183, 17.424242424242426, 21.96969696969697, 18.939393939393938, 21.21212121212121, 2.272727272727273]",transgender,132.0,School B,1,Your school,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[19, 20, 36, 16, 13, 27, 1]","[14.393939393939394, 15.151515151515152, 27.27272727272727, 12.121212121212121, 9.848484848484848, 20.454545454545457, 0.7575757575757576]",sexual_orientation,132.0,School B,1,Your school,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[39, 27, 47, 19]","[29.545454545454547, 20.454545454545457, 35.60606060606061, 14.393939393939394]",neurodivergent,132.0,School B,1,Your school,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[42, 45, 34, 11]","[31.818181818181817, 34.090909090909086, 25.757575757575758, 8.333333333333332]",birth_parent1,132.0,School B,1,Your school,birth,Was birth parent 1 born outside the UK?
