cat,cat_lab,count,percentage,measure,n_responses,school_lab,year_group_lab,gender_lab,fsm_lab,sen_lab,group,measure_lab
"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'Missing']","[13, 23, 18, 18, 16, 18, 12]","[11.0, 19.5, 15.3, 15.3, 13.6, 15.3, 10.2]",gender,106,School A,All,All,All,All,demographic,Gender
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'Missing']","[22, 20, 19, 26, 24, 7]","[18.6, 16.9, 16.1, 22.0, 20.3, 5.9]",transgender,111,School A,All,All,All,All,demographic,Do you consider yourself to be transgender?
"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'Missing']","[21, 25, 14, 18, 24, 14, 2]","[17.8, 21.2, 11.9, 15.3, 20.3, 11.9, 1.7]",sexual_orientation,116,School A,All,All,All,All,demographic,Sexual orientation
"[1.0, 2.0, 3.0, nan]","['Yes', 'No', 'Unsure', 'Missing']","[39, 30, 28, 21]","[33.1, 25.4, 23.7, 17.8]",neurodivergent,97,School A,All,All,All,All,demographic,Do you identify as neurodivergent?
"[1.0, 2.0, 3.0, nan]","['Yes', 'No', ""I don't know"", 'Missing']","[33, 42, 36, 7]","[28.0, 35.6, 30.5, 5.9]",birth_parent1,111,School A,All,All,All,All,demographic,
"[1.0, 2.0, 3.0, nan]","['Yes', 'No', ""I don't know"", 'Missing']","[48, 34, 34, 2]","[40.7, 28.8, 28.8, 1.7]",birth_parent2,116,School A,All,All,All,All,demographic,
"[1.0, 2.0, 3.0, nan]","['Yes', 'No', ""I don't know"", 'Missing']","[32, 30, 37, 19]","[27.1, 25.4, 31.4, 16.1]",birth_you,99,School A,All,All,All,All,demographic,
"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, nan]","['Under 1 year old', '1 year old', '2 years old', '3 years old', '4 years old', '5 years old', '6 years old', '7 years old', '8 years old', '9 years old', '10 years old', '11 years old', '12 years old', '13 years old', '14 years old', '15 years old', 'Missing']","[3, 12, 6, 6, 9, 11, 4, 5, 8, 6, 7, 9, 7, 4, 7, 4, 10]","[2.5, 10.2, 5.1, 5.1, 7.6, 9.3, 3.4, 4.2, 6.8, 5.1, 5.9, 7.6, 5.9, 3.4, 5.9, 3.4, 8.5]",birth_you_age,108,School A,All,All,All,All,demographic,
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'Missing']","[16, 21, 23, 18, 24, 16]","[13.6, 17.8, 19.5, 15.3, 20.3, 13.6]",autonomy_pressure,102,School A,All,All,All,All,autonomy,I feel pressured in my life
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'Missing']","[23, 26, 20, 22, 24, 3]","[19.5, 22.0, 16.9, 18.6, 20.3, 2.5]",autonomy_express,115,School A,All,All,All,All,autonomy,I generally feel free to express my ideas and opinions
