variable,mean,count,school_lab,year_group_lab,gender_lab,fsm_lab,sen_lab
birth_you_age_score,8.0,100.0,School A,All,All,All,All
autonomy_score,17.818181818181817,66.0,School A,All,All,All,All
life_satisfaction_score,5.113207547169812,106.0,School A,All,All,All,All
optimism_score,12.202702702702704,74.0,School A,All,All,All,All
wellbeing_score,21.068493150684933,73.0,School A,All,All,All,All
esteem_score,12.461538461538462,91.0,School A,All,All,All,All
stress_score,8.153846153846153,91.0,School A,All,All,All,All
appearance_score,4.894736842105263,95.0,School A,All,All,All,All
negative_score,10.48,50.0,School A,All,All,All,All
lonely_score,2.8137254901960786,102.0,School A,All,All,All,All
support_score,5.164948453608248,97.0,School A,All,All,All,All
sleep_score,0.44329896907216493,97.0,School A,All,All,All,All
physical_score,255.16483516483515,91.0,School A,All,All,All,All
free_like_score,0.3883495145631068,103.0,School A,All,All,All,All
media_score,4.161616161616162,99.0,School A,All,All,All,All
places_score,0.40594059405940597,101.0,School A,All,All,All,All
staff_talk_score,2.438888888888889,90.0,School A,All,All,All,All
home_talk_score,2.4869791666666665,96.0,School A,All,All,All,All
peer_talk_score,2.6386138613861387,101.0,School A,All,All,All,All
talk_score,7.6613924050632916,79.0,School A,All,All,All,All
accept_score,9.819277108433734,83.0,School A,All,All,All,All
school_belong_score,3.1067961165048543,103.0,School A,All,All,All,All
staff_relationship_score,12.149425287356323,87.0,School A,All,All,All,All
home_relationship_score,11.656716417910447,67.0,School A,All,All,All,All
home_happy_score,4.846938775510204,98.0,School A,All,All,All,All
local_env_score,15.363636363636365,55.0,School A,All,All,All,All
discrim_score,0.9532710280373832,107.0,School A,All,All,All,All
belong_local_score,0.41935483870967744,93.0,School A,All,All,All,All
wealth_score,0.27848101265822783,79.0,School A,All,All,All,All
future_score,7.288888888888889,45.0,School A,All,All,All,All
climate_score,0.5102040816326531,98.0,School A,All,All,All,All
social_score,11.808823529411764,68.0,School A,All,All,All,All
bully_score,7.402298850574713,87.0,School A,All,All,All,All
birth_you_age_score,8.678571428571429,56.0,School A,Year 8,All,All,All
autonomy_score,18.3125,32.0,School A,Year 8,All,All,All
life_satisfaction_score,5.224137931034483,58.0,School A,Year 8,All,All,All
optimism_score,12.027027027027026,37.0,School A,Year 8,All,All,All
wellbeing_score,20.902439024390244,41.0,School A,Year 8,All,All,All
esteem_score,12.448979591836734,49.0,School A,Year 8,All,All,All
stress_score,8.04,50.0,School A,Year 8,All,All,All
appearance_score,4.962962962962963,54.0,School A,Year 8,All,All,All
negative_score,10.0,28.0,School A,Year 8,All,All,All
lonely_score,2.792452830188679,53.0,School A,Year 8,All,All,All
support_score,5.098039215686274,51.0,School A,Year 8,All,All,All
sleep_score,0.41509433962264153,53.0,School A,Year 8,All,All,All
physical_score,251.25,48.0,School A,Year 8,All,All,All
free_like_score,0.3684210526315789,57.0,School A,Year 8,All,All,All
media_score,4.254901960784314,51.0,School A,Year 8,All,All,All
places_score,0.3090909090909091,55.0,School A,Year 8,All,All,All
staff_talk_score,2.5306122448979593,49.0,School A,Year 8,All,All,All
home_talk_score,2.480769230769231,52.0,School A,Year 8,All,All,All
peer_talk_score,2.7735849056603774,53.0,School A,Year 8,All,All,All
talk_score,7.875,42.0,School A,Year 8,All,All,All
accept_score,9.909090909090908,44.0,School A,Year 8,All,All,All
school_belong_score,2.9642857142857144,56.0,School A,Year 8,All,All,All
staff_relationship_score,12.297872340425531,47.0,School A,Year 8,All,All,All
home_relationship_score,12.108108108108109,37.0,School A,Year 8,All,All,All
home_happy_score,4.867924528301887,53.0,School A,Year 8,All,All,All
local_env_score,14.583333333333334,28.0,School A,Year 8,All,All,All
discrim_score,0.9655172413793104,58.0,School A,Year 8,All,All,All
belong_local_score,0.41509433962264153,53.0,School A,Year 8,All,All,All
wealth_score,0.23255813953488372,43.0,School A,Year 8,All,All,All
future_score,7.461538461538462,26.0,School A,Year 8,All,All,All
climate_score,0.4423076923076923,52.0,School A,Year 8,All,All,All
social_score,11.923076923076923,39.0,School A,Year 8,All,All,All
bully_score,7.549019607843137,51.0,School A,Year 8,All,All,All
birth_you_age_score,7.104651162790698,43.0,School A,Year 10,All,All,All
autonomy_score,17.352941176470587,34.0,School A,Year 10,All,All,All
life_satisfaction_score,4.8936170212765955,47.0,School A,Year 10,All,All,All
optimism_score,12.277777777777779,36.0,School A,Year 10,All,All,All
wellbeing_score,21.28125,32.0,School A,Year 10,All,All,All
esteem_score,12.487804878048781,41.0,School A,Year 10,All,All,All
stress_score,8.275,40.0,School A,Year 10,All,All,All
appearance_score,4.675,40.0,School A,Year 10,All,All,All
negative_score,11.090909090909092,22.0,School A,Year 10,All,All,All
lonely_score,2.8125,48.0,School A,Year 10,All,All,All
support_score,5.2,45.0,School A,Year 10,All,All,All
sleep_score,0.4883720930232558,43.0,School A,Year 10,All,All,All
physical_score,259.5348837209302,43.0,School A,Year 10,All,All,All
free_like_score,0.4222222222222222,45.0,School A,Year 10,All,All,All
media_score,4.0212765957446805,47.0,School A,Year 10,All,All,All
places_score,0.5111111111111111,45.0,School A,Year 10,All,All,All
staff_talk_score,2.3292682926829267,41.0,School A,Year 10,All,All,All
home_talk_score,2.505813953488372,43.0,School A,Year 10,All,All,All
peer_talk_score,2.4574468085106385,47.0,School A,Year 10,All,All,All
talk_score,7.418918918918919,37.0,School A,Year 10,All,All,All
accept_score,9.717948717948717,39.0,School A,Year 10,All,All,All
school_belong_score,3.260869565217391,46.0,School A,Year 10,All,All,All
staff_relationship_score,11.975,40.0,School A,Year 10,All,All,All
home_relationship_score,11.1,30.0,School A,Year 10,All,All,All
