variable,mean,count,school_lab,year_group_lab,gender_lab,fsm_lab,sen_lab,total_pupils,group_n,group_wt_mean,group_wt_std,lower,upper,rag,variable_lab,description
autonomy_score,17.485294117647058,68.0,School A,All,All,All,All,496.0,7.0,18.058467741935484,0.41830934513066415,17.64015839680482,18.476777087066147,below,Autonomy,How 'in control' young people feel of their life
life_satisfaction_score,5.24793388429752,121.0,School A,All,All,All,All,725.0,7.0,5.0937931034482755,0.3091582576022344,4.784634845846041,5.40295136105051,average,Life satisfaction,How satisfied young people feel with their life
optimism_score,12.049180327868852,122.0,School A,All,All,All,All,728.0,7.0,12.057692307692308,0.21063721540101735,11.84705509229129,12.268329523093326,average,Optimism,Young people's hopefulness and confidence for the future
wellbeing_score,21.23333333333333,90.0,School A,All,All,All,All,540.0,7.0,20.95,0.3376456245958411,20.61235437540416,21.28764562459584,average,Psychological wellbeing,How positive and generally happy young people feel regarding their life
esteem_score,12.726027397260276,73.0,School A,All,All,All,All,473.0,7.0,12.746300211416491,0.2609034614244116,12.485396749992079,13.007203672840904,average,Self-esteem,How much young people value themselves
stress_score,8.08,100.0,School A,All,All,All,All,618.0,7.0,8.08252427184466,0.2657591715176533,7.816765100327006,8.348283443362313,average,Stress and coping,Managing stress levels and coping with difficulties
appearance_score,5.050847457627119,118.0,School A,All,All,All,All,740.0,7.0,4.987837837837838,0.41696781798104504,4.570870019856793,5.404805655818883,average,Feelings around appearance,Young people's feelings around the way that they look
negative_score,9.63888888888889,72.0,School A,All,All,All,All,453.0,7.0,9.93598233995585,0.3525196662186804,9.583462673737168,10.28850200617453,average,Negative affect,The frequency with which young people experience emotional difficulties
lonely_score,2.761904761904762,126.0,School A,All,All,All,All,789.0,7.0,2.9657794676806084,0.16855988260183008,2.7972195850787784,3.1343393502824384,below,Loneliness,How often young people feel lonely
support_score,5.115702479338843,121.0,School A,All,All,All,All,740.0,7.0,5.127027027027027,0.1664157914576826,4.960611235569345,5.293442818484709,average,Supporting own wellbeing,Young people's knowledge on supporting themselves and looking for advice
sleep_score,0.4471544715447154,123.0,School A,All,All,All,All,755.0,7.0,0.4821192052980132,0.036030931855877156,0.4460882734421361,0.5181501371538904,average,Sleep,How much sleep young people get
physical_score,234.0,105.0,School A,All,All,All,All,685.0,7.0,250.77372262773721,29.972655797304544,220.80106683043266,280.74637842504177,average,Physical activity,How physically active young people are
free_like_score,0.3770491803278688,122.0,School A,All,All,All,All,767.0,7.0,0.39504563233376794,0.034618014343651936,0.360427617990116,0.42966364667741985,average,Free time,How often young people can do things that they like in their free time
media_score,4.102362204724409,127.0,School A,All,All,All,All,795.0,7.0,3.913207547169811,0.15143392806532952,3.7617736191044817,4.064641475235141,above,Social media use,How much time young people spend on social media
places_score,0.4274193548387097,124.0,School A,All,All,All,All,785.0,7.0,0.49554140127388535,0.03775962114598525,0.4577817801279001,0.5333010224198707,below,Places to go and things to do,Whether young people feel there are places to go and things to do in their free time
staff_talk_score,2.477822580645161,124.0,School A,All,All,All,All,763.0,7.0,2.479357798165138,0.13141735151063028,2.3479404466545075,2.610775149675768,average,,
home_talk_score,2.413135593220339,118.0,School A,All,All,All,All,742.0,7.0,2.4973045822102424,0.052219416156937606,2.4450851660533046,2.5495239983671802,below,,
peer_talk_score,2.58125,120.0,School A,All,All,All,All,757.0,7.0,2.534015852047556,0.10796612629619404,2.426049725751362,2.6419819783437504,average,,
talk_score,7.4467592592592595,108.0,School A,All,All,All,All,672.0,7.0,7.508184523809524,0.23510067467080764,7.273083849138716,7.743285198480331,average,Talking about feelings,How positively/negatively young people feel about talking with others about feeling down
accept_score,9.894736842105264,114.0,School A,All,All,All,All,693.0,7.0,10.012987012987013,0.23336679270112132,9.779620220285892,10.246353805688134,average,Acceptance,Whether young people feel accepted by different groups of people in their life
school_belong_score,3.017543859649123,114.0,School A,All,All,All,All,710.0,7.0,2.952112676056338,0.19616792469299515,2.755944751363343,3.148280600749333,average,School connection,Feelings of belonging at school
staff_relationship_score,11.971428571428572,105.0,School A,All,All,All,All,679.0,7.0,11.964653902798233,0.1748581629900406,11.789795739808191,12.139512065788274,average,Support from staff,The support received from adults at school
home_relationship_score,12.06315789473684,95.0,School A,All,All,All,All,600.0,7.0,12.008333333333333,0.18611203072898155,11.822221302604351,12.194445364062314,average,Support from parents/carers,The support received from adults at home
home_happy_score,4.901785714285714,112.0,School A,All,All,All,All,715.0,7.0,4.979020979020979,0.16785647969264023,4.811164499328339,5.146877458713619,average,Home environment,Young people's feelings regarding the home that they live in
local_env_score,15.09375,64.0,School A,All,All,All,All,401.0,7.0,15.16708229426434,0.4261564328564393,14.7409258614079,15.593238727120779,average,Local environment,How young people feel regarding the area where they live
discrim_score,0.9765625,128.0,School A,All,All,All,All,800.0,7.0,0.9825,0.012666109389992115,0.9698338906100079,0.9951661093899922,average,Discrimination,Whether young people feel discriminated against
