cat,cat_lab,count,percentage,measure,n_responses,school_lab,school_group,school_group_lab,plot_group,measure_lab
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[17, 26, 17, 19, 15, 21, 13]","[13.28125, 20.3125, 13.28125, 14.84375, 11.71875, 16.40625, 10.15625]",gender,128.0,School A,1,Your school,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[24, 24, nan, nan, nan, nan]","[18.75, 18.75, nan, nan, nan, nan]",transgender,48.0,School A,1,Your school,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[22, 26, 15, 20, 29, 16, 0]","[17.1875, 20.3125, 11.71875, 15.625, 22.65625, 12.5, 0.0]",sexual_orientation,128.0,School A,1,Your school,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[41, 32, 33, 22]","[32.03125, 25.0, 25.78125, 17.1875]",neurodivergent,128.0,School A,1,Your school,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[38, 44, 40, 6]","[29.6875, 34.375, 31.25, 4.6875]",birth_parent1,128.0,School A,1,Your school,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[50, 38, 36, 4]","[39.0625, 29.6875, 28.125, 3.125]",birth_parent2,128.0,School A,1,Your school,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[37, 39, 50, 2]","[28.90625, 30.46875, 39.0625, 1.5625]",birth_you,128.0,School A,1,Your school,birth,Were you born outside the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[56, 70, 2]","[43.75, 54.6875, 1.5625]",young_carer,128.0,School A,1,Your school,young_carer,"In the last year, have you regularly taken on caring
    responsibilities for a family member - e.g. due to illness, disability,
    mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[36, 39, 40, 13]","[28.125, 30.46875, 31.25, 10.15625]",care_experience,128.0,School A,1,Your school,care_experience,"Are you or have you ever been in care (living in
    a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[62, 52, 14]","[48.4375, 40.625, 10.9375]",year_group,128.0,School A,1,Your school,year_group,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[59, 54, 15]","[46.09375, 42.1875, 11.71875]",fsm,128.0,School A,1,Your school,fsm,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[57, 64, 7]","[44.53125, 50.0, 5.46875]",sen,128.0,School A,1,Your school,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[57, 66, 5]","[44.53125, 51.5625, 3.90625]",ethnicity,128.0,School A,1,Your school,ethnicity,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[51, 60, 17]","[39.84375, 46.875, 13.28125]",english_additional,128.0,School A,1,Your school,english_additional,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[94, 116, 84, 106, 107, 97, 68]","[13.988095238095239, 17.261904761904763, 12.5, 15.773809523809524, 15.922619047619047, 14.434523809523808, 10.119047619047619]",gender,672.0,School A,0,Other schools,gender,Gender
