cat,cat_lab,count,percentage,measure,n_responses,school_lab,year_group_lab,gender_lab,fsm_lab,sen_lab,group,measure_lab
"[1, 2, 3, 4, 5, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'No response']","[20, 27, 22, 21, 22, 16]","[15.625, 21.09375, 17.1875, 16.40625, 17.1875, 12.5]",autonomy_pressure,128.0,School A,All,All,All,All,autonomy,"
I feel pressured in my life"
"[1, 2, 3, 4, 5, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'No response']","[26, 29, 21, 23, 26, 3]","[20.3125, 22.65625, 16.40625, 17.96875, 20.3125, 2.34375]",autonomy_express,128.0,School A,All,All,All,All,autonomy,"
I generally feel free to express my ideas and opinions"
"[1, 2, 3, 4, 5, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'No response']","[23, 23, 17, 32, 20, 13]","[17.96875, 17.96875, 13.28125, 25.0, 15.625, 10.15625]",autonomy_decide,128.0,School A,All,All,All,All,autonomy,"
I feel like I am free to decide for myself how to live my life"
"[1, 2, 3, 4, 5, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'No response']","[26, 24, 15, 30, 24, 9]","[20.3125, 18.75, 11.71875, 23.4375, 18.75, 7.03125]",autonomy_told,128.0,School A,All,All,All,All,autonomy,"
In my daily life I often have to do what I am told"
"[1, 2, 3, 4, 5, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'No response']","[31, 22, 22, 19, 21, 13]","[24.21875, 17.1875, 17.1875, 14.84375, 16.40625, 10.15625]",autonomy_myself,128.0,School A,All,All,All,All,autonomy,"
I feel I can pretty much be myself in daily situations"
"[1, 2, 3, 4, 5, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'No response']","[28, 30, 23, 22, 22, 3]","[21.875, 23.4375, 17.96875, 17.1875, 17.1875, 2.34375]",autonomy_choice,128.0,School A,All,All,All,All,autonomy,"
I have enough choice about how I spend my time"
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, nan]","['0 - not at all', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10 - completely', 'No response']","[7, 13, 10, 14, 10, 12, 10, 7, 14, 15, 7, 9]","[5.46875, 10.15625, 7.8125, 10.9375, 7.8125, 9.375, 7.8125, 5.46875, 10.9375, 11.71875, 5.46875, 7.03125]",life_satisfaction,128.0,School A,All,All,All,All,life_satisfaction,"
Overall, how satisfied are you with your life nowadays?"
"[1, 2, 3, 4, 5, nan]","['Almost never', 'Sometimes', 'Often', 'Very often', 'Always', 'No response']","[22, 21, 20, 29, 25, 11]","[17.1875, 16.40625, 15.625, 22.65625, 19.53125, 8.59375]",optimism_future,128.0,School A,All,All,All,All,optimism,"
I am optimistic about my future"
"[1, 2, 3, 4, 5, nan]","['Not at all like me', 'A little like me', 'Somewhat like me', 'Mostly like me', 'Very much like me', 'No response']","[30, 26, 19, 22, 29, 2]","[23.4375, 20.3125, 14.84375, 17.1875, 22.65625, 1.5625]",optimism_best,128.0,School A,All,All,All,All,optimism,"
In uncertain times, I expect the best"
"[1, 2, 3, 4, 5, nan]","['Not at all like me', 'A little like me', 'Somewhat like me', 'Mostly like me', 'Very much like me', 'No response']","[28, 34, 25, 14, 26, 1]","[21.875, 26.5625, 19.53125, 10.9375, 20.3125, 0.78125]",optimism_good,128.0,School A,All,All,All,All,optimism,"
I think good things are going to happen to me"
"[1, 2, 3, 4, 5, nan]","['Not at all like me', 'A little like me', 'Somewhat like me', 'Mostly like me', 'Very much like me', 'No response']","[25, 16, 28, 31, 25, 3]","[19.53125, 12.5, 21.875, 24.21875, 19.53125, 2.34375]",optimism_work,128.0,School A,All,All,All,All,optimism,"
I believe that things will work out, no matter how difficult they seem"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[21, 16, 21, 31, 34, 5]","[16.40625, 12.5, 16.40625, 24.21875, 26.5625, 3.90625]",wellbeing_optimistic,128.0,School A,All,All,All,All,wellbeing,"
I've been feeling optimistic about the future"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[23, 24, 29, 28, 16, 8]","[17.96875, 18.75, 22.65625, 21.875, 12.5, 6.25]",wellbeing_useful,128.0,School A,All,All,All,All,wellbeing,"
I've been feeling useful"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[30, 14, 27, 24, 24, 9]","[23.4375, 10.9375, 21.09375, 18.75, 18.75, 7.03125]",wellbeing_relaxed,128.0,School A,All,All,All,All,wellbeing,"
I've been feeling relaxed"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[31, 14, 20, 24, 26, 13]","[24.21875, 10.9375, 15.625, 18.75, 20.3125, 10.15625]",wellbeing_problems,128.0,School A,All,All,All,All,wellbeing,"
I've been dealing with problems well"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[19, 20, 35, 27, 25, 2]","[14.84375, 15.625, 27.34375, 21.09375, 19.53125, 1.5625]",wellbeing_thinking,128.0,School A,All,All,All,All,wellbeing,"
I've been thinking clearly"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[27, 19, 26, 19, 27, 10]","[21.09375, 14.84375, 20.3125, 14.84375, 21.09375, 7.8125]",wellbeing_close,128.0,School A,All,All,All,All,wellbeing,"
I've been feeling close to other people"
"[1, 2, 3, 4, 5, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'No response']","[27, 33, 28, 19, 21, 0]","[21.09375, 25.78125, 21.875, 14.84375, 16.40625, 0.0]",wellbeing_mind,128.0,School A,All,All,All,All,wellbeing,"
I've been able to make up my own mind about things"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[27, 25, 40, 21, 15]","[21.09375, 19.53125, 31.25, 16.40625, 11.71875]",esteem_satisfied,128.0,School A,All,All,All,All,esteem,"
On the whole, I am satisfied with myself"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[24, 24, 33, 29, 18]","[18.75, 18.75, 25.78125, 22.65625, 14.0625]",esteem_qualities,128.0,School A,All,All,All,All,esteem,"
I feel that I have a number of good qualities"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[28, 30, 27, 30, 13]","[21.875, 23.4375, 21.09375, 23.4375, 10.15625]",esteem_well,128.0,School A,All,All,All,All,esteem,"
I am able to do things as well as most other people"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[30, 34, 29, 26, 9]","[23.4375, 26.5625, 22.65625, 20.3125, 7.03125]",esteem_value,128.0,School A,All,All,All,All,esteem,"
I am a person of value"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[34, 32, 23, 32, 7]","[26.5625, 25.0, 17.96875, 25.0, 5.46875]",esteem_good,128.0,School A,All,All,All,All,esteem,"
I feel good about myself"
"[1, 2, 3, 4, 5, nan]","['Never', 'Almost Never', 'Sometimes', 'Fairly Often', 'Very Often', 'No response']","[22, 26, 22, 22, 29, 7]","[17.1875, 20.3125, 17.1875, 17.1875, 22.65625, 5.46875]",stress_control,128.0,School A,All,All,All,All,stress,"
Felt you were unable to control the important things in your life"
"[1, 2, 3, 4, 5, nan]","['Never', 'Almost Never', 'Sometimes', 'Fairly Often', 'Very Often', 'No response']","[15, 26, 26, 24, 24, 13]","[11.71875, 20.3125, 20.3125, 18.75, 18.75, 10.15625]",stress_overcome,128.0,School A,All,All,All,All,stress,"
Felt that difficulties were piling up so high that you could not overcome
them"
"[1, 2, 3, 4, 5, nan]","['Never', 'Almost Never', 'Sometimes', 'Fairly Often', 'Very Often', 'No response']","[26, 15, 24, 21, 23, 19]","[20.3125, 11.71875, 18.75, 16.40625, 17.96875, 14.84375]",stress_confident,128.0,School A,All,All,All,All,stress,"
Felt confident about your ability to handle your personal problems"
"[1, 2, 3, 4, 5, nan]","['Never', 'Almost Never', 'Sometimes', 'Fairly Often', 'Very Often', 'No response']","[26, 32, 22, 25, 21, 2]","[20.3125, 25.0, 17.1875, 19.53125, 16.40625, 1.5625]",stress_way,128.0,School A,All,All,All,All,stress,Felt that things were going your way
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, nan]","['0 - Very unhappy', '1', '2', '3', '4', '5 - Not happy or unhappy', '6', '7', '8', '9', '10 - Very happy', 'Prefer not to say', 'No response']","[10, 9, 15, 5, 8, 21, 11, 7, 9, 12, 11, 10, 0]","[7.8125, 7.03125, 11.71875, 3.90625, 6.25, 16.40625, 8.59375, 5.46875, 7.03125, 9.375, 8.59375, 7.8125, 0.0]",appearance_happy,128.0,School A,All,All,All,All,appearance,"
How happy are you with your appearance (the way that you look)?"
"[1, 2, 3, 4, 5, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'Prefer not to say', 'No response']","[17, 26, 21, 35, 16, 13]","[13.28125, 20.3125, 16.40625, 27.34375, 12.5, 10.15625]",appearance_feel,128.0,School A,All,All,All,All,appearance,"
My appearance affects how I feel about myself"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[50, 43, 33, 2]","[39.0625, 33.59375, 25.78125, 1.5625]",negative_lonely,128.0,School A,All,All,All,All,negative,"
I feel lonely"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[34, 42, 36, 16]","[26.5625, 32.8125, 28.125, 12.5]",negative_unhappy,128.0,School A,All,All,All,All,negative,"
I am unhappy"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[49, 40, 34, 5]","[38.28125, 31.25, 26.5625, 3.90625]",negative_like,128.0,School A,All,All,All,All,negative,"
Nobody likes me"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[36, 33, 46, 13]","[28.125, 25.78125, 35.9375, 10.15625]",negative_cry,128.0,School A,All,All,All,All,negative,"
I cry a lot"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[36, 51, 35, 6]","[28.125, 39.84375, 27.34375, 4.6875]",negative_school,128.0,School A,All,All,All,All,negative,"
I worry when I am at school"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[49, 38, 37, 4]","[38.28125, 29.6875, 28.90625, 3.125]",negative_worry,128.0,School A,All,All,All,All,negative,"
I worry a lot"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[45, 43, 38, 2]","[35.15625, 33.59375, 29.6875, 1.5625]",negative_sleep,128.0,School A,All,All,All,All,negative,"
I have problems sleeping"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[32, 35, 42, 19]","[25.0, 27.34375, 32.8125, 14.84375]",negative_wake,128.0,School A,All,All,All,All,negative,"
I wake up in the night"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[36, 39, 42, 11]","[28.125, 30.46875, 32.8125, 8.59375]",negative_shy,128.0,School A,All,All,All,All,negative,"
I am shy"
"[1, 2, 3, nan]","['Never', 'Sometimes', 'Always', 'No response']","[39, 40, 46, 3]","[30.46875, 31.25, 35.9375, 2.34375]",negative_scared,128.0,School A,All,All,All,All,negative,"
I feel scared"
"[1, 2, 3, 4, 5, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'No response']","[22, 25, 19, 22, 38, 2]","[17.1875, 19.53125, 14.84375, 17.1875, 29.6875, 1.5625]",lonely,128.0,School A,All,All,All,All,lonely,"
How often do you feel lonely?"
