variable,mean,count,school_lab,year_group_lab,gender_lab,fsm_lab,sen_lab
autonomy_score,17.18421052631579,76.0,School A,All,All,All,All
life_satisfaction_score,5.050420168067227,119.0,School A,All,All,All,All
optimism_score,12.035714285714286,112.0,School A,All,All,All,All
wellbeing_score,21.21505376344086,93.0,School A,All,All,All,All
esteem_score,12.546666666666667,75.0,School A,All,All,All,All
stress_score,7.691489361702128,94.0,School A,All,All,All,All
appearance_score,5.0508474576271185,118.0,School A,All,All,All,All
negative_score,9.98360655737705,61.0,School A,All,All,All,All
lonely_score,3.2301587301587302,126.0,School A,All,All,All,All
support_score,4.868852459016393,122.0,School A,All,All,All,All
sleep_score,0.4700854700854701,117.0,School A,All,All,All,All
physical_score,234.05405405405406,111.0,School A,All,All,All,All
free_like_score,3.033613445378151,119.0,School A,All,All,All,All
media_score,3.921259842519685,127.0,School A,All,All,All,All
places_score,2.388888888888889,126.0,School A,All,All,All,All
staff_talk_score,2.4933035714285716,112.0,School A,All,All,All,All
home_talk_score,2.4932432432432434,111.0,School A,All,All,All,All
peer_talk_score,2.622767857142857,112.0,School A,All,All,All,All
talk_score,7.576470588235294,85.0,School A,All,All,All,All
accept_score,10.03883495145631,103.0,School A,All,All,All,All
school_belong_score,3.0869565217391304,115.0,School A,All,All,All,All
staff_relationship_score,12.077586206896552,116.0,School A,All,All,All,All
home_relationship_score,11.948453608247423,97.0,School A,All,All,All,All
home_happy_score,5.107142857142857,112.0,School A,All,All,All,All
local_env_score,14.772222222222222,60.0,School A,All,All,All,All
discrim_score,1.0234375,128.0,School A,All,All,All,All
belong_local_score,2.2941176470588234,119.0,School A,All,All,All,All
wealth_score,0.4,90.0,School A,All,All,All,All
future_score,7.137254901960785,51.0,School A,All,All,All,All
climate_score,2.496,125.0,School A,All,All,All,All
social_score,11.738636363636363,88.0,School A,All,All,All,All
bully_score,7.636363636363637,121.0,School A,All,All,All,All
autonomy_score,16.594594594594593,37.0,School A,Year 8,All,All,All
life_satisfaction_score,4.964912280701754,57.0,School A,Year 8,All,All,All
optimism_score,11.87719298245614,57.0,School A,Year 8,All,All,All
wellbeing_score,21.113636363636363,44.0,School A,Year 8,All,All,All
esteem_score,12.868421052631579,38.0,School A,Year 8,All,All,All
stress_score,8.217391304347826,46.0,School A,Year 8,All,All,All
appearance_score,4.553571428571429,56.0,School A,Year 8,All,All,All
negative_score,10.529411764705882,34.0,School A,Year 8,All,All,All
lonely_score,3.2459016393442623,61.0,School A,Year 8,All,All,All
support_score,4.816666666666666,60.0,School A,Year 8,All,All,All
sleep_score,0.42105263157894735,57.0,School A,Year 8,All,All,All
physical_score,241.63636363636363,55.0,School A,Year 8,All,All,All
free_like_score,3.263157894736842,57.0,School A,Year 8,All,All,All
media_score,3.8870967741935485,62.0,School A,Year 8,All,All,All
places_score,2.2666666666666666,60.0,School A,Year 8,All,All,All
staff_talk_score,2.486607142857143,56.0,School A,Year 8,All,All,All
home_talk_score,2.6009615384615383,52.0,School A,Year 8,All,All,All
peer_talk_score,2.8284313725490198,51.0,School A,Year 8,All,All,All
talk_score,7.96875,40.0,School A,Year 8,All,All,All
accept_score,9.893617021276595,47.0,School A,Year 8,All,All,All
school_belong_score,2.9298245614035086,57.0,School A,Year 8,All,All,All
staff_relationship_score,12.25,56.0,School A,Year 8,All,All,All
home_relationship_score,12.040816326530612,49.0,School A,Year 8,All,All,All
home_happy_score,5.018518518518518,54.0,School A,Year 8,All,All,All
local_env_score,14.888888888888888,27.0,School A,Year 8,All,All,All
discrim_score,1.0,62.0,School A,Year 8,All,All,All
belong_local_score,2.2982456140350878,57.0,School A,Year 8,All,All,All
wealth_score,0.5,44.0,School A,Year 8,All,All,All
future_score,7.357142857142857,21.0,School A,Year 8,All,All,All
climate_score,2.5737704918032787,61.0,School A,Year 8,All,All,All
social_score,11.659090909090908,44.0,School A,Year 8,All,All,All
bully_score,7.421052631578948,57.0,School A,Year 8,All,All,All
autonomy_score,17.766666666666666,30.0,School A,Year 10,All,All,All
life_satisfaction_score,5.24,50.0,School A,Year 10,All,All,All
optimism_score,12.133333333333333,45.0,School A,Year 10,All,All,All
wellbeing_score,21.63157894736842,38.0,School A,Year 10,All,All,All
esteem_score,12.172413793103448,29.0,School A,Year 10,All,All,All
stress_score,7.447368421052632,38.0,School A,Year 10,All,All,All
appearance_score,5.270833333333333,48.0,School A,Year 10,All,All,All
negative_score,9.15,20.0,School A,Year 10,All,All,All
lonely_score,3.3846153846153846,52.0,School A,Year 10,All,All,All
support_score,4.875,48.0,School A,Year 10,All,All,All
sleep_score,0.5833333333333334,48.0,School A,Year 10,All,All,All
physical_score,216.8181818181818,44.0,School A,Year 10,All,All,All
free_like_score,2.875,48.0,School A,Year 10,All,All,All
media_score,3.923076923076923,52.0,School A,Year 10,All,All,All
places_score,2.6153846153846154,52.0,School A,Year 10,All,All,All
staff_talk_score,2.4593023255813953,43.0,School A,Year 10,All,All,All
home_talk_score,2.5489130434782608,46.0,School A,Year 10,All,All,All
peer_talk_score,2.5208333333333335,48.0,School A,Year 10,All,All,All
talk_score,7.4338235294117645,34.0,School A,Year 10,All,All,All
