variable,mean,count,school_lab,year_group_lab,gender_lab,fsm_lab,sen_lab,total_pupils,group_n,group_wt_mean,group_wt_std,lower,upper,rag,variable_lab,description
autonomy_score,17.18421052631579,76.0,School A,All,All,All,All,490.0,7.0,17.808163265306124,0.4398161783551778,17.368347086950948,18.2479794436613,below,Autonomy,"
How 'in control' young people feel of their life"
life_satisfaction_score,5.050420168067227,119.0,School A,All,All,All,All,725.0,7.0,5.060689655172414,0.33926550961024554,4.721424145562168,5.39995516478266,average,Life satisfaction,"
How satisfied young people feel with their life"
optimism_score,12.035714285714286,112.0,School A,All,All,All,All,731.0,7.0,12.0328317373461,0.26035913515735465,11.772472602188746,12.293190872503455,average,Optimism,"
Young people's hopefulness and confidence for the future"
wellbeing_score,21.21505376344086,93.0,School A,All,All,All,All,547.0,7.0,20.93418647166362,0.5070170873320001,20.42716938433162,21.441203558995618,average,Psychological wellbeing,"
How positive and generally happy young people feel regarding their life"
esteem_score,12.546666666666667,75.0,School A,All,All,All,All,481.0,7.0,12.773388773388774,0.4063822161291122,12.367006557259662,13.179770989517886,average,Self-esteem,"
How much young people value themselves"
stress_score,7.691489361702128,94.0,School A,All,All,All,All,628.0,7.0,7.848726114649682,0.30725585867714506,7.541470255972537,8.155981973326828,average,Stress and coping,"
Managing stress levels and coping with difficulties"
appearance_score,5.0508474576271185,118.0,School A,All,All,All,All,740.0,7.0,4.987837837837838,0.416967817981045,4.570870019856793,5.404805655818883,average,Feelings around appearance,"
Young people's feelings around the way that they look"
negative_score,9.98360655737705,61.0,School A,All,All,All,All,449.0,7.0,9.79510022271715,0.25381959370288365,9.541280629014265,10.048919816420034,average,Negative affect,"
The frequency with which young people experience emotional difficulties"
lonely_score,3.2301587301587302,126.0,School A,All,All,All,All,789.0,7.0,3.0367553865652726,0.15712824108326662,2.879627145482006,3.193883627648539,above,Loneliness,"
How often young people feel lonely"
support_score,4.868852459016393,122.0,School A,All,All,All,All,740.0,7.0,4.855405405405405,0.1449114769658806,4.710493928439525,5.000316882371286,average,Supporting own wellbeing,"
Young people's knowledge on supporting themselves and looking for advice"
sleep_score,0.4700854700854701,117.0,School A,All,All,All,All,755.0,7.0,0.48741721854304637,0.04032193218865314,0.4470952863543932,0.5277391507316995,average,Sleep,"
How much sleep young people get"
physical_score,234.05405405405406,111.0,School A,All,All,All,All,684.0,7.0,248.1578947368421,34.73906947493535,213.41882526190676,282.89696421177746,average,Physical activity,"
How physically active young people are"
free_like_score,3.033613445378151,119.0,School A,All,All,All,All,767.0,7.0,3.002607561929596,0.10539272177968435,2.897214840149912,3.10800028370928,average,Free time,"
How often young people can do things that they like in their free time"
media_score,3.921259842519685,127.0,School A,All,All,All,All,795.0,7.0,4.103144654088051,0.15235692299759027,3.9507877310904607,4.255501577085641,below,Social media use,"
How much time young people spend on social media"
places_score,2.388888888888889,126.0,School A,All,All,All,All,785.0,7.0,2.4942675159235668,0.07565985702086149,2.4186076589027055,2.569927372944428,below,Places to go and things to do,"
Whether young people feel there are places to go and things to do in their
free time"
staff_talk_score,2.4933035714285716,112.0,School A,All,All,All,All,663.0,7.0,2.4871794871794872,0.11745288291412538,2.3697266042653617,2.6046323700936127,average,NULL,NULL
home_talk_score,2.4932432432432434,111.0,School A,All,All,All,All,690.0,7.0,2.5431159420289857,0.06868511916188096,2.4744308228671046,2.611801061190867,average,NULL,NULL
peer_talk_score,2.622767857142857,112.0,School A,All,All,All,All,711.0,7.0,2.5464135021097047,0.11059218620280613,2.4358213159068987,2.657005688312511,average,NULL,NULL
talk_score,7.576470588235294,85.0,School A,All,All,All,All,507.0,7.0,7.556213017751479,0.17439720440893752,7.381815813342541,7.730610222160417,average,Talking about feelings,"
How positively/negatively young people feel about talking with others about
feeling down"
accept_score,10.03883495145631,103.0,School A,All,All,All,All,691.0,7.0,10.036179450072359,0.25240061438970507,9.783778835682654,10.288580064462064,average,Acceptance,"
Whether young people feel accepted by different groups of people in their
life"
school_belong_score,3.0869565217391304,115.0,School A,All,All,All,All,710.0,7.0,2.926760563380282,0.20728372192483527,2.7194768414554464,3.134044285305117,average,School connection,"
Feelings of belonging at school"
staff_relationship_score,12.077586206896552,116.0,School A,All,All,All,All,678.0,7.0,12.008849557522124,0.16051504318097295,11.84833451434115,12.169364600703098,average,Support from staff,"
The support received from adults at school"
